Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
HAO - Grief Sign,Indonesia,Syahru,Mulia,"This movie has cultural theme that come with problem at school,which is the main character ""SORA"" Facing 2 problems, when do the ancestries tradition , because of it she must run from the school. The comunication with Sora parent and the guidance teacher can solve the problem,Sora still can go to school and do the tradition of her ethnic",
What's in the Cards,United States,Chloe,Martin,"Today is the day Jade must ask out her crush, but her anxieties in doing so lead her to ask her best friend, Amber to give her a tarot reading on how it'll turn out. The cards are always true.",
The Remaining Green,Germany,Sonja,Beutelmann,"Samara (50) and Hannes (52) are known for their paintings of special trees. In the summer of 2018, they paint before the evacuation of the tree houses in Hambacher Forst. The police show up and judge their work site as a hazard: The artist duo is banned from painting and their belongings are confiscated. An odyssey of protests and police arbitrariness follows. Their painting becomes a political act and Samara goes one step further...  Based on a true story.",
The Artist and the Power of Thought,Brazil,Elder,Fraga,"THE ARTIST AND THE POWER OF THOUGHT, reflects the relationship between balance and imbalance within the partiality of movement of dancer Marcos Abranches. He oscillates his body to awaken from the emptiness and isolation caused by the imbalance. The lack of movement aesthetics is felt by abandonment and rejection, understanding that relief lies in the support of love. Investigating movement of the body a world without anguish, without pain, without despair. Search for life. Find in dance the balance of the body and the beauty of the soul.  The film will explore and deepen the life and work of the dancer and choreographer Marcos Abranches. The idea of the documentary is to show that the person and the artist walk together and lead a normal life. We will show the day-to-day life with the family and the artist on stage, the works created and choreographed by Marcos Abranches such as ""Corpo Sobre Tela"", Forma de Ver"", Avessos"", ""O Grito"", and ""O Canto dos Malditos"", besides showing his international career passing through Berlin (Germany), Madrid (Spain), Asunción (Paraguay), La Paz (Peru), and Bogotá (Colombia).  Marcos Abranches is a choreographer and dancer with ""Coreoatetosis"", a rare physical deficiency resulting from a brain lesion. It is not a disease, but a pathological condition that manifests itself from involuntary, intermittent, and irregular movements of the face and limbs.  It is important to know that the professional has normal intelligence and uses his own disability as a study reference for the construction of his body artistic language, being the only Brazilian choreographer with cerebral palsy to propose a study on contemporary dance.  We will also show Marcos' work with great names of the national ballet, such as Sandro Borelli (Choreographer, Artistic Director of Cia. Carne Agonizante), Iara Biderman (Journalist and Dance Critic), Inês Bogéia (Director of São Paulo Companhia de Dança and PhD in Arts), Luís Ferron (Director of Núcleo Luís Ferron), Solange Borelli (Cultural Manager and Producer), Gal Oppido (Photographer), Ivam Cabral (Co-founder of Cia. de Teatro Os Satyros and Executive Director of SP Escola de Teatro - Centro de Formação das Artes do Palco). Talking about their desires and anguishes and showing, above all, a very powerful story.  Awards:  ""BEST NATIONAL FILM"" - 6th Santos Film Fest - Santos International Film Festival (2021).  ""Trajectory Award"" - The Artist and the Strength of Thought - 10th International Festival of Films on Disability"" (2021).  ""Mention for Artistic Quality - Marcos Abranches portrayed in the film The Artist and the Strength of Thought at ASSIM VIVEMOS - 10th International Festival of Films About Disability"" (2021).  ",https://www.youtube.com/watch?v=xxDaHWihetg
Burgers n' Flies,United States,Morgan,Boerner,"Burgers n' Flies is an animated thesis film by Morgan Mackenzie Boerner. Throughout the film, we follow a rootin' tootin' ASL usin' frog boy named Hopscotch who works on his family's bug ranch. He’s a hard worker, but is a bit of a klutz and ends up making messes wherever he tries to help. Maybe his true talents lie elsewhere.",https://www.youtube.com/watch?v=n44KWW8Hc1g&ab_channel=Burgersn%27Flies
Rhythm of Life,India,Surya,Vakkalanka,"Life in a day in a city. Even though there is too much chaos all around us, if we look deeply, we see certain 'Rhythms'. The Rhythm is everywhere. This is - The Rhythm of Life. Every single person has a certain RoLe to follow in life. What's yours? ",
Sunflower,United States,Charlie,Edwards," In February of 2022, Greg Abbott signed legislation classifying trans youth receiving gender-affirming care as child abuse, and all cases should be reported to CPS. The effects of this are devastating for trans youth. In this documentary, we sit down with two transgender teenagers and a Diversity Equity and Inclusion officer to discuss the effects of this on the community.",
Lola,United Kingdom,Alexander,Griffiths,"Lola is a 19 year old pregnant waitress. She is overworked and a fainting spell brings her back to her father’s home, somewhere she did not expect to return to after leaving 3 years prior. Will they be able to repair their broken relationship?",https://www.youtube.com/watch?v=m64OZaYIBbQ
The New Man,Serbia,Janko,Djuric,"Back in the 60s Soviet scientists tried to create a ""New Man"". But who is he really?",
cup of home,Germany,Annalena,Liesner,"Ursula struggles through life as a Trümmerfrau in Cologne in the 1950s, while Johanna tries to fight for change in the politically tense Amsterdam in the 1980s. Francis, on the other hand, had to move out of his beloved New York in the 2010s due to mass tourism, gentrification and rising rental prices which nevertheless continues to secure his income. They all combine a difficult housing situation and a metal cup.",
